City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,broken hill,-31.95,141.4333,9.98,56,6,4.1,AU,1691530289
168,guercif,34.2257,-3.3536,31.32,40,93,2.54,MA,1691530383
169,ta`u,-14.2336,-169.5144,27.68,69,88,4.76,AS,1691530384
170,touros,-5.1989,-35.4608,24.53,83,92,5.05,BR,1691530384
171,anjar,23.1333,70.0167,26.81,80,100,8.3,IN,1691530384
172,russellville,35.2784,-93.1338,30.66,61,0,3.6,US,1691530334
173,magong,23.5654,119.5863,27.69,88,100,5.6,TW,1691530385
174,tinogasta,-28.0632,-67.5649,15.83,34,1,2.41,AR,1691530385
175,tazovsky,67.4667,78.7,8.76,97,100,4.32,RU,1691530385
176,keflavik,64.0049,-22.5624,12.95,87,40,4.63,IS,1691530385
177,kerikeri,-35.2268,173.9474,9.39,94,21,0.45,NZ,1691530385
178,kristiansund,63.1115,7.732,13.03,94,100,1.54,NO,1691530386
179,jamaame,0.0697,42.745,23.66,84,34,4.96,SO,1691530386
180,rokytne,51.2796,27.214,11.63,79,11,2.76,UA,1691530386
181,carbonear,47.7332,-53.2148,15.41,84,100,3.84,CA,1691530386
182,richards bay,-28.783,32.0377,17.17,86,0,1.96,ZA,1691530387
183,tindouf,27.6711,-8.1474,41.25,11,20,2.57,DZ,1691530387
184,inirida,3.8653,-67.9239,29.4,74,29,0.85,CO,1691530387
185,turkmenbasy,40.0222,52.9552,26.43,31,0,1.03,TM,1691530388
186,novodvinsk,64.4165,40.8122,13.72,92,6,2.26,RU,1691530388
187,san patricio,28.017,-97.5169,38.4,48,0,8.97,US,1691530388
188,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,5.14,EC,1691530389
189,kavaratti,10.5669,72.642,27.98,75,100,7.7,IN,1691530389
190,sambava,-14.2667,50.1667,20.34,89,12,3.48,MG,1691530389
191,ilulissat,69.2167,-51.1,6.62,56,100,1.21,GL,1691530390
192,papatowai,-46.5619,169.4708,5.45,86,100,7.76,NZ,1691530390
193,constitucion,-35.3333,-72.4167,12.7,69,100,1.78,CL,1691530391
194,sapele,5.8941,5.6767,23.96,90,38,1.46,NG,1691530391
195,carnarvon,-24.8667,113.6333,17.1,84,5,6.54,AU,1691530391
196,rundu,-17.9333,19.7667,16.08,38,36,2.76,NA,1691530392
197,narrabri,-30.3167,149.7833,8.62,80,0,1.34,AU,1691530392
198,kokopo,-4.352,152.2633,26.13,81,60,7.05,PG,1691530392
199,castelo branco,39.8222,-7.4909,30.56,31,0,2.29,PT,1691530392
200,tolanaro,-25.0319,46.9987,20.04,88,20,5.14,MG,1691530393
201,jwaneng,-24.6004,24.7303,11.7,25,25,4.07,BW,1691530393
202,balad,34.0164,44.1453,36.7,15,0,4.94,IQ,1691530394
203,xinyuan,37.3,99.0,11.49,73,97,1.29,CN,1691530394
204,nyurba,63.2842,118.3319,16.31,60,0,2.9,RU,1691530394
205,bridgetown,13.1,-59.6167,29.27,84,20,4.63,BB,1691530395
206,as sulayyil,20.4607,45.5779,33.14,9,7,3.05,SA,1691530395
207,constantia,44.1833,28.65,14.38,66,46,3.79,RO,1691530396
208,kapuskasing,49.4169,-82.4331,26.05,50,75,3.09,CA,1691530396
209,lerwick,60.1545,-1.1494,10.0,79,100,13.8,GB,1691530396
210,zarinsk,53.7074,84.9493,15.05,56,53,1.2,RU,1691530397
211,ilhabela,-23.7781,-45.3581,19.72,93,100,4.28,BR,1691530397
212,qal'ah-ye shahr,35.5473,65.5676,12.92,51,1,0.79,AF,1691530397
213,ad dabbah,18.05,30.95,36.34,31,3,3.61,SD,1691530397
214,oliver,49.1831,-119.5524,28.8,44,96,2.57,CA,1691530398
215,dapa,9.7594,126.0531,27.94,73,100,1.65,PH,1691530398
216,kruisfontein,-34.0033,24.7314,13.27,88,90,0.3,ZA,1691530398
217,lepsy,46.235,78.9456,23.75,42,82,4.94,KZ,1691530399
218,quepos,9.4236,-84.1652,27.58,82,100,0.67,CR,1691530399
219,santa cruz,-17.8,-63.1667,28.03,32,0,5.66,BO,1691530399
220,la ronge,55.1001,-105.2842,18.12,59,75,4.63,CA,1691530170
221,sainte-anne-des-monts,49.124,-66.4924,15.93,88,100,1.54,CA,1691530400
222,chelmsford,51.7357,0.4696,16.81,95,100,2.75,GB,1691530400
223,tapa,59.2606,25.9586,11.67,88,1,2.64,EE,1691530400
224,buenaventura,3.8801,-77.0312,28.12,81,98,2.55,CO,1691530165
225,gourdon,44.75,1.5,15.45,47,66,0.64,FR,1691530401
226,fada n'gourma,12.0622,0.3578,24.91,84,100,2.42,BF,1691530401
227,new norfolk,-42.7826,147.0587,3.72,95,41,1.39,AU,1691530401
228,queenstown,-31.8976,26.8753,9.68,84,79,1.98,ZA,1691530402
229,nemuro,43.3236,145.575,18.33,100,100,5.59,JP,1691530402
230,taki,22.5861,88.9214,26.97,87,84,2.18,IN,1691530402
231,saldanha,-33.0117,17.9442,10.03,85,0,5.69,ZA,1691530403
232,springs,-26.25,28.4,13.01,50,4,2.58,ZA,1691530403
233,tsiombe,-25.3,45.4833,19.99,86,1,4.76,MG,1691530404
234,hadibu,12.65,54.0333,25.66,80,97,8.28,YE,1691530404
235,luderitz,-26.6481,15.1594,16.26,66,0,7.01,NA,1691530404
236,island harbour,50.724,-1.2758,17.31,94,100,1.34,GB,1691530405
